filename_and_fake,std,ci,fake,mos,num_ratings,count_1,count_2,count_3,count_4,count_5,filename
static/images/500px_cc0/medium/100327907_some_days_in_winter.jpg0,1.0304876330673562,0.46907234675993914,0.0,2.1904761904761907,21,7,5,7,2,0,static/images/500px_cc0/medium/100327907_some_days_in_winter.jpg
static/images/500px_cc0/medium/100327907_some_days_in_winter.jpg1,1.192864158731316,0.5158331439366424,1.0,2.1739130434782608,23,9,5,6,2,1,static/images/500px_cc0/medium/100327907_some_days_in_winter.jpg
static/images/500px_cc0/medium/1003502191_Flat_lay_of_business_concept.jpg0,1.2514697241996051,0.6434463584104684,0.0,2.235294117647059,17,6,5,3,2,1,static/images/500px_cc0/medium/1003502191_Flat_lay_of_business_concept.jpg
static/images/500px_cc0/medium/1003502191_Flat_lay_of_business_concept.jpg1,1.2314558524297639,0.7110214406077775,1.0,2.142857142857143,14,5,5,2,1,1,static/images/500px_cc0/medium/1003502191_Flat_lay_of_business_concept.jpg
static/images/500px_cc0/medium/1011015162_Anemone-.jpg0,1.0997835284835873,0.6090398177910417,0.0,3.066666666666667,15,1,3,7,2,2,static/images/500px_cc0/medium/1011015162_Anemone-.jpg
static/images/500px_cc0/medium/1011015162_Anemone-.jpg1,1.2041594578792294,0.641651282319411,1.0,2.625,16,3,5,4,3,1,static/images/500px_cc0/medium/1011015162_Anemone-.jpg
static/images/500px_cc0/medium/1011015165_Anemone-.jpg0,1.0246950765959597,0.5460214638368335,0.0,1.875,16,8,3,4,1,0,static/images/500px_cc0/medium/1011015165_Anemone-.jpg
static/images/500px_cc0/medium/1011015165_Anemone-.jpg1,0.9983646759294875,0.49647507318481177,1.0,2.0555555555555554,18,6,7,3,2,0,static/images/500px_cc0/medium/1011015165_Anemone-.jpg
static/images/500px_cc0/medium/1011015217_Anemone-.jpg0,1.0823255385643318,0.5993719052209365,0.0,2.2,15,5,4,4,2,0,static/images/500px_cc0/medium/1011015217_Anemone-.jpg
static/images/500px_cc0/medium/1011015217_Anemone-.jpg1,1.0641207361838554,0.5471203972149472,1.0,2.588235294117647,17,3,5,5,4,0,static/images/500px_cc0/medium/1011015217_Anemone-.jpg
static/images/500px_cc0/medium/1011015218_Anemone-.jpg0,0.7187952884282609,0.38301897271764984,0.0,2.625,16,0,8,6,2,0,static/images/500px_cc0/medium/1011015218_Anemone-.jpg
